date,user_tier,capital_tier,ticker,action,shares,price,total_cost,buy_factor_pct
01/12/2025,25M,25000000,EIB,BUY,100,21750.0,2175000.0,100
01/12/2025,25M,25000000,PDR,BUY,100,21900.0,2190000.0,100
01/12/2025,25M,25000000,STB,BUY,100,49000.0,4900000.0,100
01/12/2025,25M,25000000,TCH,BUY,100,20300.0,2030000.0,100
01/12/2025,25M,25000000,VIC,BUY,100,134950.0,13495000.0,100
01/12/2025,50M,50000000,DGW,BUY,100,42570.0,4257000.0,100
01/12/2025,50M,50000000,DXG,BUY,100,16170.000000000002,1617000.0000000002,100
01/12/2025,50M,50000000,EIB,BUY,100,21750.0,2175000.0,100
01/12/2025,50M,50000000,HAG,BUY,100,17450.0,1745000.0,100
01/12/2025,50M,50000000,HDC,BUY,100,23230.0,2323000.0,100
01/12/2025,50M,50000000,IMP,BUY,100,48580.0,4858000.0,100
01/12/2025,50M,50000000,PDR,BUY,100,21900.0,2190000.0,100
01/12/2025,50M,50000000,STB,BUY,200,49000.0,9800000.0,100
01/12/2025,50M,50000000,TCH,BUY,100,20300.0,2030000.0,100
01/12/2025,50M,50000000,VGC,BUY,100,43800.0,4380000.0,100
01/12/2025,50M,50000000,VIC,BUY,100,134950.0,13495000.0,100
01/12/2025,100M,100000000,DGW,BUY,100,42570.0,4257000.0,100
01/12/2025,100M,100000000,DXG,BUY,100,16170.000000000002,1617000.0000000002,100
01/12/2025,100M,100000000,EIB,BUY,200,21750.0,4350000.0,100
01/12/2025,100M,100000000,HAG,BUY,100,17450.0,1745000.0,100
01/12/2025,100M,100000000,HDC,BUY,200,23230.0,4646000.0,100
01/12/2025,100M,100000000,IMP,BUY,200,48580.0,9716000.0,100
01/12/2025,100M,100000000,KDC,BUY,100,51170.0,5117000.0,100
01/12/2025,100M,100000000,PDR,BUY,200,21900.0,4380000.0,100
01/12/2025,100M,100000000,STB,BUY,400,49000.0,19600000.0,100
01/12/2025,100M,100000000,TCH,BUY,200,20300.0,4060000.0,100
01/12/2025,100M,100000000,VGC,BUY,100,43800.0,4380000.0,100
01/12/2025,100M,100000000,VHC,BUY,100,57500.0,5750000.0,100
01/12/2025,100M,100000000,VIC,BUY,200,134950.0,26990000.0,100
01/12/2025,100M,100000000,VIX,BUY,100,20680.0,2068000.0,100
01/12/2025,250M,250000000,DGW,BUY,200,42570.0,8514000.0,100
01/12/2025,250M,250000000,DXG,BUY,300,16170.000000000002,4851000.000000001,100
01/12/2025,250M,250000000,EIB,BUY,300,21750.0,6525000.0,100
01/12/2025,250M,250000000,GAS,BUY,200,65400.00000000001,13080000.000000002,100
01/12/2025,250M,250000000,HAG,BUY,200,17450.0,3490000.0,100
01/12/2025,250M,250000000,HDC,BUY,300,23230.0,6969000.0,100
01/12/2025,250M,250000000,IMP,BUY,300,48580.0,14574000.0,100
01/12/2025,250M,250000000,KDC,BUY,200,51170.0,10234000.0,100
01/12/2025,250M,250000000,KDH,BUY,200,34150.0,6830000.0,100
01/12/2025,250M,250000000,NLG,BUY,100,34980.0,3498000.0,100
01/12/2025,250M,250000000,PDR,BUY,400,21900.0,8760000.0,100
01/12/2025,250M,250000000,STB,BUY,1000,49000.0,49000000.0,100
01/12/2025,250M,250000000,TCH,BUY,500,20300.0,10150000.0,100
01/12/2025,250M,250000000,VCB,BUY,200,57500.0,11500000.0,100
01/12/2025,250M,250000000,VGC,BUY,200,43800.0,8760000.0,100
01/12/2025,250M,250000000,VHC,BUY,200,57500.0,11500000.0,100
01/12/2025,250M,250000000,VIC,BUY,500,134950.0,67475000.0,100
01/12/2025,250M,250000000,VIX,BUY,200,20680.0,4136000.0,100
01/12/2025,500M,500000000,BSI,BUY,100,35520.0,3552000.0,100
01/12/2025,500M,500000000,BVH,BUY,100,51500.0,5150000.0,100
01/12/2025,500M,500000000,CTD,BUY,100,76530.0,7653000.0,100
01/12/2025,500M,500000000,DBC,BUY,100,24240.0,2424000.0,100
01/12/2025,500M,500000000,DGW,BUY,400,42570.0,17028000.0,100
01/12/2025,500M,500000000,DXG,BUY,500,16170.000000000002,8085000.000000001,100
01/12/2025,500M,500000000,EIB,BUY,600,21750.0,13050000.0,100
01/12/2025,500M,500000000,GAS,BUY,200,65400.00000000001,13080000.000000002,100
01/12/2025,500M,500000000,HAG,BUY,400,17450.0,6980000.0,100
01/12/2025,500M,500000000,HDC,BUY,600,23230.0,13938000.0,100
01/12/2025,500M,500000000,HDG,BUY,100,27870.0,2787000.0,100
01/12/2025,500M,500000000,IMP,BUY,600,48580.0,29148000.0,100
01/12/2025,500M,500000000,KDC,BUY,400,51170.0,20468000.0,100
01/12/2025,500M,500000000,KDH,BUY,300,34150.0,10245000.0,100
01/12/2025,500M,500000000,MBB,BUY,100,22310.0,2231000.0,100
01/12/2025,500M,500000000,NLG,BUY,100,34980.0,3498000.0,100
01/12/2025,500M,500000000,NT2,BUY,200,23600.0,4720000.0,100
01/12/2025,500M,500000000,PDR,BUY,700,21900.0,15330000.0,100
01/12/2025,500M,500000000,SJS,BUY,100,58300.0,5830000.0,100
01/12/2025,500M,500000000,STB,BUY,2000,49000.0,98000000.0,100
01/12/2025,500M,500000000,TCH,BUY,1000,20300.0,20300000.0,100
01/12/2025,500M,500000000,VCB,BUY,200,57500.0,11500000.0,100
01/12/2025,500M,500000000,VGC,BUY,400,43800.0,17520000.0,100
01/12/2025,500M,500000000,VHC,BUY,400,57500.0,23000000.0,100
01/12/2025,500M,500000000,VIC,BUY,1000,134950.0,134950000.0,100
01/12/2025,500M,500000000,VIX,BUY,300,20680.0,6204000.0,100
01/12/2025,500M,500000000,VSC,BUY,100,22100.0,2210000.0,100
03/12/2025,50M,50000000,DGW,SELL,100,43640.0,-4364000.0,100
03/12/2025,50M,50000000,HAG,SELL,100,17750.0,-1775000.0,100
03/12/2025,50M,50000000,HDC,SELL,100,23580.0,-2358000.0,100
03/12/2025,50M,50000000,VGC,SELL,100,44150.0,-4415000.0,100
03/12/2025,50M,50000000,VIC,BUY,100,134700.0,13470000.0,100
03/12/2025,100M,100000000,DGW,SELL,100,43640.0,-4364000.0,100
03/12/2025,100M,100000000,VHC,SELL,100,57500.0,-5750000.0,100
03/12/2025,100M,100000000,VIX,SELL,100,20510.0,-2051000.0,100
03/12/2025,100M,100000000,VIC,BUY,100,134700.0,13470000.0,100
03/12/2025,250M,250000000,VCB,SELL,100,58900.0,-5890000.0,100
03/12/2025,250M,250000000,MBB,BUY,100,23610.0,2361000.0,100
03/12/2025,250M,250000000,NLG,BUY,100,35420.0,3542000.0,100
03/12/2025,500M,500000000,NT2,SELL,100,24000.0,-2400000.0,100
03/12/2025,500M,500000000,VCB,SELL,100,58900.0,-5890000.0,100
03/12/2025,500M,500000000,VHC,SELL,100,57500.0,-5750000.0,100
03/12/2025,500M,500000000,VIX,SELL,100,20510.0,-2051000.0,100
03/12/2025,500M,500000000,NLG,BUY,100,35420.0,3542000.0,100
03/12/2025,500M,500000000,VIC,BUY,100,134700.0,13470000.0,100
04/12/2025,100M,100000000,KDC,SELL,100,50780.0,-5078000.0,100
04/12/2025,100M,100000000,DGW,BUY,100,42960.0,4296000.0,100
